"plotID","MaxTemp","MinTemp","AverageTemp","RainingDays","AverageRainingDays"
0,30,11,22,16,0.26
1,30,11,22,1,0.1
2,35,14,26,16,0.26
3,35,14,26,1,0.1
4,30,11,22,24,0.39
5,30,11,22,34,0.56
6,35,14,26,24,0.39
7,35,14,26,34,0.56
8,25,8,18,16,0.26
9,25,8,18,1,0.1
10,21,6,15,16,0.26
11,30,11,22,16,0.26
12,30,11,22,1,0.1
13,35,14,26,16,0.26
14,35,14,26,1,0.1
15,30,11,22,24,0.39
16,30,11,22,34,0.56
17,35,14,26,24,0.39
18,35,14,26,34,0.56
19,25,8,18,16,0.26
20,25,8,18,1,0.1
21,21,6,15,16,0.26
22,21,6,15,1,0.1
23,25,8,18,24,0.39
24,25,8,18,34,0.56
25,30,11,22,16,0.26
26,30,11,22,1,0.1
27,35,14,26,16,0.26
28,35,14,26,1,0.1
29,30,11,22,24,0.39
30,30,11,22,34,0.56
31,35,14,26,24,0.39
32,35,14,26,34,0.56
33,25,8,18,16,0.26
34,25,8,18,1,0.1
35,21,6,15,16,0.26
36,21,6,15,1,0.1
37,25,8,18,24,0.39
38,25,8,18,34,0.56
39,21,6,15,34,0.56
40,30,11,22,16,0.26
41,30,11,22,1,0.1
42,35,14,26,16,0.26
43,35,14,26,1,0.1
44,30,11,22,24,0.39
45,30,11,22,34,0.56
46,35,14,26,24,0.39
47,35,14,26,34,0.56
48,25,8,18,16,0.26
49,25,8,18,1,0.1
50,21,6,15,16,0.26
51,30,11,22,16,0.26
52,30,11,22,1,0.1
53,35,14,26,16,0.26
54,35,14,26,1,0.1
55,30,11,22,24,0.39
56,30,11,22,34,0.56
57,35,14,26,24,0.39
58,35,14,26,34,0.56
59,25,8,18,16,0.26
60,25,8,18,1,0.1
61,21,6,15,16,0.26
62,21,6,15,1,0.1
63,25,8,18,24,0.39
64,25,8,18,34,0.56
65,21,6,15,24,0.39
66,21,6,15,34,0.56
67,30,11,22,16,0.26
68,30,11,22,1,0.1
69,35,14,26,16,0.26
70,35,14,26,1,0.1
71,30,11,22,24,0.39
72,30,11,22,34,0.56
73,35,14,26,24,0.39
74,35,14,26,34,0.56
75,25,8,18,16,0.26
76,25,8,18,1,0.1
77,21,6,15,16,0.26
78,21,6,15,1,0.1
79,25,8,18,24,0.39
80,25,8,18,34,0.56
81,21,6,15,24,0.39
82,21,6,15,34,0.56
83,30,11,22,16,0.26
84,30,11,22,1,0.1
85,35,14,26,16,0.26
86,35,14,26,1,0.1
87,30,11,22,24,0.39
88,30,11,22,34,0.56
89,35,14,26,24,0.39
90,35,14,26,34,0.56
91,25,8,18,16,0.26
92,25,8,18,1,0.1
93,21,6,15,16,0.26
94,21,6,15,1,0.1
95,25,8,18,24,0.39
96,25,8,18,34,0.56
97,21,6,15,24,0.39
98,21,6,15,34,0.56
99,30,11,22,16,0.26
100,30,11,22,1,0.1
101,35,14,26,16,0.26
102,35,14,26,1,0.1
103,30,11,22,24,0.39
104,30,11,22,34,0.56
105,35,14,26,24,0.39
106,35,14,26,34,0.56
107,25,8,18,16,0.26
108,25,8,18,1,0.1
109,21,6,15,16,0.26
110,21,6,15,1,0.1
111,25,8,18,24,0.39
112,25,8,18,34,0.56
113,21,6,15,24,0.39
114,21,6,15,34,0.56
115,30,11,22,16,0.26
116,30,11,22,1,0.1
117,35,14,26,16,0.26
118,35,14,26,1,0.1
119,30,11,22,24,0.39
120,30,11,22,34,0.56
121,35,14,26,24,0.39
122,35,14,26,34,0.56
123,25,8,18,16,0.26
124,25,8,18,1,0.1
125,21,6,15,16,0.26
126,21,6,15,1,0.1
127,25,8,18,24,0.39
128,25,8,18,34,0.56
129,21,6,15,24,0.39
130,21,6,15,34,0.56
131,30,11,22,16,0.26
132,30,11,22,1,0.1
133,35,14,26,16,0.26
134,35,14,26,1,0.1
135,30,11,22,24,0.39
136,30,11,22,34,0.56
137,35,14,26,24,0.39
138,35,14,26,34,0.56
139,25,8,18,16,0.26
140,25,8,18,1,0.1
141,21,6,15,16,0.26
142,21,6,15,1,0.1
143,25,8,18,24,0.39
144,25,8,18,34,0.56
145,21,6,15,24,0.39
146,21,6,15,34,0.56
147,30,11,22,16,0.26
148,30,11,22,1,0.1
149,35,14,26,16,0.26
150,35,14,26,1,0.1
151,30,11,22,24,0.39
152,30,11,22,34,0.56
153,35,14,26,24,0.39
154,35,14,26,34,0.56
155,25,8,18,16,0.26
156,25,8,18,1,0.1
157,21,6,15,16,0.26
158,21,6,15,1,0.1
159,25,8,18,24,0.39
160,25,8,18,34,0.56
161,21,6,15,24,0.39
162,21,6,15,34,0.56
163,30,11,22,16,0.26
164,30,11,22,1,0.1
165,35,14,26,16,0.26
166,35,14,26,1,0.1
167,30,11,22,24,0.39
168,30,11,22,34,0.56
169,35,14,26,24,0.39
170,35,14,26,34,0.56
171,25,8,18,16,0.26
172,25,8,18,1,0.1
173,21,6,15,16,0.26
174,21,6,15,1,0.1
175,25,8,18,24,0.39
176,25,8,18,34,0.56
177,21,6,15,24,0.39
178,21,6,15,34,0.56
179,30,11,22,16,0.26
180,30,11,22,1,0.1
181,35,14,26,16,0.26
182,35,14,26,1,0.1
183,30,11,22,24,0.39
184,30,11,22,34,0.56
185,35,14,26,24,0.39
186,35,14,26,34,0.56
187,25,8,18,16,0.26
188,25,8,18,1,0.1
189,21,6,15,16,0.26
190,21,6,15,1,0.1
191,25,8,18,24,0.39
192,25,8,18,34,0.56
193,21,6,15,24,0.39
194,21,6,15,34,0.56
195,30,11,22,16,0.26
196,30,11,22,1,0.1
197,35,14,26,16,0.26
198,35,14,26,1,0.1
199,30,11,22,24,0.39
200,30,11,22,34,0.56
201,35,14,26,24,0.39
202,35,14,26,34,0.56
203,25,8,18,16,0.26
204,25,8,18,1,0.1
205,21,6,15,16,0.26
206,21,6,15,1,0.1
207,25,8,18,24,0.39
208,25,8,18,34,0.56
209,21,6,15,24,0.39
210,21,6,15,34,0.56
211,30,11,22,16,0.26
212,30,11,22,1,0.1
213,35,14,26,16,0.26
214,35,14,26,1,0.1
215,30,11,22,24,0.39
216,30,11,22,34,0.56
217,35,14,26,24,0.39
218,35,14,26,34,0.56
219,25,8,18,16,0.26
220,25,8,18,1,0.1
221,21,6,15,16,0.26
222,21,6,15,1,0.1
223,25,8,18,24,0.39
224,25,8,18,34,0.56
225,21,6,15,24,0.39
226,21,6,15,34,0.56
227,30,11,22,16,0.26
228,30,11,22,1,0.1
229,35,14,26,16,0.26
230,35,14,26,1,0.1
231,30,11,22,24,0.39
232,30,11,22,34,0.56
233,35,14,26,24,0.39
234,35,14,26,34,0.56
235,25,8,18,16,0.26
236,25,8,18,1,0.1
237,21,6,15,16,0.26
238,21,6,15,1,0.1
239,25,8,18,24,0.39
240,25,8,18,34,0.56
241,21,6,15,24,0.39
242,21,6,15,34,0.56
243,30,11,22,16,0.26
244,30,11,22,1,0.1
245,35,14,26,16,0.26
246,35,14,26,1,0.1
247,30,11,22,24,0.39
248,30,11,22,34,0.56
249,35,14,26,24,0.39
250,35,14,26,34,0.56
251,25,8,18,16,0.26
252,25,8,18,1,0.1
253,21,6,15,16,0.26
254,21,6,15,1,0.1
255,25,8,18,24,0.39
256,25,8,18,34,0.56
257,21,6,15,24,0.39
258,21,6,15,34,0.56
259,30,11,22,16,0.26
260,30,11,22,1,0.1
261,35,14,26,16,0.26
262,35,14,26,1,0.1
263,30,11,22,24,0.39
264,30,11,22,34,0.56
265,35,14,26,24,0.39
266,35,14,26,34,0.56
267,25,8,18,16,0.26
268,25,8,18,1,0.1
269,21,6,15,16,0.26
270,21,6,15,1,0.1
271,25,8,18,24,0.39
272,25,8,18,34,0.56
273,21,6,15,24,0.39
274,21,6,15,34,0.56
275,30,11,22,16,0.26
276,30,11,22,1,0.1
277,35,14,26,16,0.26
278,35,14,26,1,0.1
279,30,11,22,24,0.39
280,30,11,22,34,0.56
281,35,14,26,24,0.39
282,35,14,26,34,0.56
283,25,8,18,16,0.26
284,25,8,18,1,0.1
285,21,6,15,16,0.26
286,21,6,15,1,0.1
287,25,8,18,24,0.39
288,25,8,18,34,0.56
289,21,6,15,24,0.39
290,21,6,15,34,0.56
291,30,11,22,16,0.26
292,30,11,22,1,0.1
293,35,14,26,16,0.26
294,35,14,26,1,0.1
295,30,11,22,24,0.39
296,30,11,22,34,0.56
297,35,14,26,24,0.39
298,35,14,26,34,0.56
299,25,8,18,16,0.26
300,25,8,18,1,0.1
301,21,6,15,16,0.26
302,21,6,15,1,0.1
303,25,8,18,24,0.39
304,25,8,18,34,0.56
305,21,6,15,24,0.39
306,21,6,15,34,0.56
307,30,11,22,16,0.26
308,30,11,22,1,0.1
309,35,14,26,16,0.26
310,35,14,26,1,0.1
311,30,11,22,24,0.39
312,30,11,22,34,0.56
313,35,14,26,24,0.39
314,35,14,26,34,0.56
315,25,8,18,16,0.26
316,25,8,18,1,0.1
317,21,6,15,16,0.26
318,21,6,15,1,0.1
319,25,8,18,24,0.39
320,25,8,18,34,0.56
321,21,6,15,24,0.39
322,21,6,15,34,0.56
323,30,11,22,16,0.26
324,30,11,22,1,0.1
325,35,14,26,16,0.26
326,35,14,26,1,0.1
327,30,11,22,24,0.39
328,30,11,22,34,0.56
329,35,14,26,24,0.39
330,35,14,26,34,0.56
331,25,8,18,16,0.26
332,25,8,18,1,0.1
333,21,6,15,16,0.26
334,21,6,15,1,0.1
335,25,8,18,24,0.39
336,25,8,18,34,0.56
337,21,6,15,24,0.39
338,21,6,15,34,0.56
339,30,11,22,16,0.26
340,30,11,22,1,0.1
341,35,14,26,16,0.26
342,35,14,26,1,0.1
343,30,11,22,24,0.39
344,30,11,22,34,0.56
345,35,14,26,24,0.39
346,35,14,26,34,0.56
347,25,8,18,16,0.26
348,25,8,18,1,0.1
349,21,6,15,16,0.26
350,21,6,15,1,0.1
351,25,8,18,24,0.39
352,25,8,18,34,0.56
353,21,6,15,24,0.39
354,21,6,15,34,0.56
355,30,11,22,16,0.26
356,30,11,22,1,0.1
357,35,14,26,16,0.26
358,35,14,26,1,0.1
359,30,11,22,24,0.39
360,30,11,22,34,0.56
361,35,14,26,24,0.39
362,35,14,26,34,0.56
363,25,8,18,16,0.26
364,25,8,18,1,0.1
365,21,6,15,16,0.26
366,21,6,15,1,0.1
367,25,8,18,24,0.39
368,25,8,18,34,0.56
369,21,6,15,24,0.39
370,21,6,15,34,0.56
371,30,11,22,16,0.26
372,30,11,22,1,0.1
373,35,14,26,16,0.26
374,35,14,26,1,0.1
375,30,11,22,24,0.39
376,30,11,22,34,0.56
377,35,14,26,24,0.39
378,35,14,26,34,0.56
379,25,8,18,16,0.26
380,25,8,18,1,0.1
381,21,6,15,16,0.26
382,21,6,15,1,0.1
383,25,8,18,24,0.39
384,25,8,18,34,0.56
385,21,6,15,24,0.39
386,21,6,15,34,0.56
387,30,11,22,16,0.26
388,30,11,22,1,0.1
389,35,14,26,16,0.26
390,35,14,26,1,0.1
391,30,11,22,24,0.39
392,30,11,22,34,0.56
393,35,14,26,24,0.39
394,35,14,26,34,0.56
395,25,8,18,16,0.26
396,25,8,18,1,0.1
397,21,6,15,16,0.26
398,21,6,15,1,0.1
399,25,8,18,24,0.39
400,25,8,18,34,0.56
401,21,6,15,24,0.39
402,21,6,15,34,0.56
403,30,11,22,16,0.26
404,30,11,22,1,0.1
405,35,14,26,16,0.26
406,35,14,26,1,0.1
407,30,11,22,24,0.39
408,30,11,22,34,0.56
409,35,14,26,24,0.39
410,35,14,26,34,0.56
411,25,8,18,16,0.26
412,25,8,18,1,0.1
413,21,6,15,16,0.26
414,21,6,15,1,0.1
415,25,8,18,24,0.39
416,25,8,18,34,0.56
417,21,6,15,24,0.39
418,21,6,15,34,0.56
419,30,11,22,16,0.26
420,30,11,22,1,0.1
421,35,14,26,16,0.26
422,35,14,26,1,0.1
423,30,11,22,24,0.39
424,30,11,22,34,0.56
425,35,14,26,24,0.39
426,35,14,26,34,0.56
427,25,8,18,16,0.26
428,25,8,18,1,0.1
429,21,6,15,16,0.26
430,21,6,15,1,0.1
431,25,8,18,24,0.39
432,25,8,18,34,0.56
433,21,6,15,24,0.39
434,21,6,15,34,0.56
435,30,11,22,16,0.26
436,30,11,22,1,0.1
437,35,14,26,16,0.26
438,35,14,26,1,0.1
439,30,11,22,24,0.39
440,30,11,22,34,0.56
441,35,14,26,24,0.39
442,35,14,26,34,0.56
443,25,8,18,16,0.26
444,25,8,18,1,0.1
445,21,6,15,16,0.26
446,21,6,15,1,0.1
447,25,8,18,24,0.39
448,25,8,18,34,0.56
449,21,6,15,24,0.39
450,21,6,15,34,0.56
451,30,11,22,16,0.26
452,30,11,22,1,0.1
453,35,14,26,16,0.26
454,35,14,26,1,0.1
455,30,11,22,24,0.39
456,30,11,22,34,0.56
457,30,11,22,16,0.26
458,30,11,22,1,0.1
459,35,14,26,16,0.26
460,35,14,26,1,0.1
461,30,11,22,24,0.39
462,30,11,22,34,0.56
463,35,14,26,24,0.39
464,35,14,26,34,0.56
465,25,8,18,16,0.26
466,25,8,18,1,0.1
467,21,6,15,16,0.26
468,21,6,15,1,0.1
469,25,8,18,24,0.39
470,25,8,18,34,0.56
471,21,6,15,24,0.39
472,21,6,15,34,0.56
473,30,11,22,16,0.26
474,30,11,22,1,0.1
475,35,14,26,16,0.26
476,35,14,26,1,0.1
477,30,11,22,24,0.39
478,30,11,22,34,0.56
479,35,14,26,24,0.39
480,35,14,26,34,0.56
481,25,8,18,16,0.26
482,25,8,18,1,0.1
483,21,6,15,16,0.26
484,21,6,15,1,0.1
485,25,8,18,24,0.39
486,25,8,18,34,0.56
487,21,6,15,24,0.39
488,21,6,15,34,0.56
489,30,11,22,16,0.26
490,30,11,22,1,0.1
491,35,14,26,16,0.26
492,35,14,26,1,0.1
493,30,11,22,24,0.39
494,30,11,22,34,0.56
495,35,14,26,24,0.39
496,35,14,26,34,0.56
497,25,8,18,16,0.26
498,25,8,18,1,0.1
499,21,6,15,16,0.26
500,21,6,15,1,0.1
501,25,8,18,24,0.39
502,25,8,18,34,0.56
503,21,6,15,24,0.39
504,21,6,15,34,0.56
505,30,11,22,16,0.26
506,30,11,22,1,0.1
507,35,14,26,16,0.26
508,35,14,26,1,0.1
509,30,11,22,24,0.39
510,30,11,22,34,0.56
511,35,14,26,24,0.39
512,35,14,26,34,0.56
513,25,8,18,16,0.26
514,25,8,18,1,0.1
515,21,6,15,16,0.26
516,21,6,15,1,0.1
517,25,8,18,24,0.39
518,25,8,18,34,0.56
519,21,6,15,24,0.39
520,21,6,15,34,0.56
521,30,11,22,16,0.26
522,30,11,22,1,0.1
523,35,14,26,16,0.26
524,35,14,26,1,0.1
525,30,11,22,24,0.39
526,30,11,22,34,0.56
527,35,14,26,24,0.39
528,35,14,26,34,0.56
529,25,8,18,16,0.26
530,25,8,18,1,0.1
531,21,6,15,16,0.26
532,21,6,15,1,0.1
533,25,8,18,24,0.39
534,25,8,18,34,0.56
535,21,6,15,24,0.39
536,21,6,15,34,0.56
537,30,11,22,16,0.26
538,30,11,22,1,0.1
539,35,14,26,16,0.26
540,35,14,26,1,0.1
541,30,11,22,24,0.39
542,30,11,22,34,0.56
543,35,14,26,24,0.39
544,35,14,26,34,0.56
545,25,8,18,16,0.26
546,25,8,18,1,0.1
547,21,6,15,16,0.26
548,21,6,15,1,0.1
549,25,8,18,24,0.39
550,25,8,18,34,0.56
551,21,6,15,24,0.39
552,21,6,15,34,0.56
553,30,11,22,16,0.26
554,30,11,22,1,0.1
555,35,14,26,16,0.26
556,35,14,26,1,0.1
557,30,11,22,24,0.39
558,30,11,22,34,0.56
559,35,14,26,24,0.39
560,35,14,26,34,0.56
561,25,8,18,16,0.26
562,25,8,18,1,0.1
563,21,6,15,16,0.26
564,21,6,15,1,0.1
565,25,8,18,24,0.39
566,25,8,18,34,0.56
567,21,6,15,24,0.39
568,21,6,15,34,0.56
569,30,11,22,16,0.26
570,30,11,22,1,0.1
571,35,14,26,16,0.26
572,35,14,26,1,0.1
573,30,11,22,24,0.39
574,30,11,22,34,0.56
575,35,14,26,24,0.39
576,35,14,26,34,0.56
577,25,8,18,16,0.26
578,25,8,18,1,0.1
579,21,6,15,16,0.26
580,21,6,15,1,0.1
581,25,8,18,24,0.39
582,25,8,18,34,0.56
583,21,6,15,24,0.39
584,21,6,15,34,0.56
585,30,11,22,16,0.26
586,30,11,22,1,0.1
587,35,14,26,16,0.26
588,35,14,26,1,0.1
589,30,11,22,24,0.39
590,30,11,22,34,0.56
591,35,14,26,24,0.39
592,35,14,26,34,0.56
593,25,8,18,16,0.26
594,25,8,18,1,0.1
595,21,6,15,16,0.26
596,21,6,15,1,0.1
597,25,8,18,24,0.39
598,25,8,18,34,0.56
599,21,6,15,24,0.39
600,21,6,15,34,0.56
601,30,11,22,16,0.26
602,30,11,22,1,0.1
603,35,14,26,16,0.26
604,35,14,26,1,0.1
605,30,11,22,24,0.39
606,30,11,22,34,0.56
607,35,14,26,24,0.39
608,35,14,26,34,0.56
609,25,8,18,16,0.26
610,25,8,18,1,0.1
611,21,6,15,16,0.26
612,21,6,15,1,0.1
613,25,8,18,24,0.39
614,25,8,18,34,0.56
615,21,6,15,24,0.39
616,21,6,15,34,0.56
617,30,11,22,16,0.26
618,30,11,22,1,0.1
619,35,14,26,16,0.26
620,35,14,26,1,0.1
621,30,11,22,24,0.39
622,30,11,22,34,0.56
623,35,14,26,24,0.39
624,35,14,26,34,0.56
625,25,8,18,16,0.26
626,25,8,18,1,0.1
627,21,6,15,16,0.26
628,21,6,15,1,0.1
629,25,8,18,24,0.39
630,25,8,18,34,0.56
631,21,6,15,24,0.39
632,21,6,15,34,0.56
633,30,11,22,16,0.26
634,30,11,22,1,0.1
635,35,14,26,16,0.26
636,35,14,26,1,0.1
637,30,11,22,24,0.39
638,30,11,22,34,0.56
639,35,14,26,24,0.39
640,35,14,26,34,0.56
641,25,8,18,16,0.26
642,25,8,18,1,0.1
643,21,6,15,16,0.26
644,21,6,15,1,0.1
645,25,8,18,24,0.39
646,25,8,18,34,0.56
647,21,6,15,24,0.39
648,21,6,15,34,0.56
649,30,11,22,16,0.26
650,30,11,22,1,0.1
651,35,14,26,16,0.26
652,35,14,26,1,0.1
653,30,11,22,24,0.39
654,30,11,22,34,0.56
655,35,14,26,24,0.39
656,35,14,26,34,0.56
657,25,8,18,16,0.26
658,25,8,18,1,0.1
659,21,6,15,16,0.26
660,21,6,15,1,0.1
661,25,8,18,24,0.39
662,25,8,18,34,0.56
663,21,6,15,24,0.39
664,21,6,15,34,0.56
665,30,11,22,16,0.26
666,30,11,22,1,0.1
667,35,14,26,16,0.26
668,35,14,26,1,0.1
669,30,11,22,24,0.39
670,30,11,22,34,0.56
671,35,14,26,24,0.39
672,35,14,26,34,0.56
673,25,8,18,16,0.26
674,25,8,18,1,0.1
675,21,6,15,16,0.26
676,21,6,15,1,0.1
677,25,8,18,24,0.39
678,25,8,18,34,0.56
679,21,6,15,24,0.39
680,21,6,15,34,0.56
681,30,11,22,16,0.26
682,30,11,22,1,0.1
683,35,14,26,16,0.26
684,35,14,26,1,0.1
685,30,11,22,24,0.39
686,30,11,22,34,0.56
687,35,14,26,24,0.39
688,35,14,26,34,0.56
689,25,8,18,16,0.26
690,25,8,18,1,0.1
691,21,6,15,16,0.26
692,21,6,15,1,0.1
693,25,8,18,24,0.39
694,25,8,18,34,0.56
695,21,6,15,24,0.39
696,21,6,15,34,0.56
697,30,11,22,16,0.26
698,30,11,22,1,0.1
699,35,14,26,16,0.26
700,35,14,26,1,0.1
701,30,11,22,24,0.39
702,30,11,22,34,0.56
703,35,14,26,24,0.39
704,35,14,26,34,0.56
705,25,8,18,16,0.26
706,25,8,18,1,0.1
707,21,6,15,16,0.26
708,21,6,15,1,0.1
709,25,8,18,24,0.39
710,25,8,18,34,0.56
711,21,6,15,24,0.39
712,21,6,15,34,0.56
713,30,11,22,16,0.26
714,30,11,22,1,0.1
715,35,14,26,16,0.26
716,35,14,26,1,0.1
717,30,11,22,24,0.39
718,30,11,22,34,0.56
719,35,14,26,24,0.39
720,35,14,26,34,0.56
721,25,8,18,16,0.26
722,25,8,18,1,0.1
723,21,6,15,16,0.26
724,21,6,15,1,0.1
725,25,8,18,24,0.39
726,25,8,18,34,0.56
727,21,6,15,24,0.39
728,21,6,15,34,0.56
729,30,11,22,16,0.26
730,30,11,22,1,0.1
731,35,14,26,16,0.26
732,35,14,26,1,0.1
733,30,11,22,24,0.39
734,30,11,22,34,0.56
735,35,14,26,24,0.39
736,35,14,26,34,0.56
737,25,8,18,16,0.26
738,25,8,18,1,0.1
739,21,6,15,16,0.26
740,21,6,15,1,0.1
741,25,8,18,24,0.39
742,25,8,18,34,0.56
743,21,6,15,24,0.39
744,21,6,15,34,0.56
745,30,11,22,16,0.26
746,30,11,22,1,0.1
747,35,14,26,16,0.26
748,35,14,26,1,0.1
749,30,11,22,24,0.39
750,30,11,22,34,0.56
751,35,14,26,24,0.39
752,35,14,26,34,0.56
753,25,8,18,16,0.26
754,25,8,18,1,0.1
755,21,6,15,16,0.26
756,21,6,15,1,0.1
757,25,8,18,24,0.39
758,25,8,18,34,0.56
759,30,11,22,3.77,0.06
760,30,11,22,3.77,0.06
761,30,11,22,3.77,0.06
762,30,11,22,3.77,0.06
763,30,11,22,3.77,0.06
764,30,11,22,3.77,0.06
765,30,11,22,3.77,0.06
766,30,11,22,3.77,0.06
767,30,11,22,3.77,0.06
768,30,11,22,3.77,0.06
769,30,11,22,3.77,0.06
770,30,11,22,3.77,0.06
771,30,11,22,3.77,0.06
772,30,11,22,3.77,0.06
773,30,11,22,3.77,0.06
774,30,11,22,24,0.39
775,32,4,19,3.77,0.06
776,32,4,19,24,0.39
